,Date,lower Spot_price,upper Spot_price,Mean
0,2022-07-01,6.180371272870364,9.949934991683772,8.065153132277068
1,2022-08-01,5.791694805823491,11.098371786475893,8.445033296149692
2,2022-09-01,5.555778885967802,12.045244917628322,8.800511901798062
3,2022-10-01,5.466627452316201,12.954318226746805,9.210472839531503
4,2022-11-01,4.9064178131905445,13.274085165116684,9.090251489153614
5,2022-12-01,3.8530753046760644,13.016600864859473,8.434838084767769
6,2023-01-01,3.857209808235507,13.75279187656447,8.805000842399988
7,2023-02-01,4.990696082811916,15.56778870085579,10.279242391833852
8,2023-03-01,3.4115624950000836,14.628836318422508,9.020199406711296
9,2023-04-01,3.9793191246394253,15.802160399461094,9.89073976205026
10,2023-05-01,4.586725839915113,16.98559351356765,10.78615967674138
11,2023-06-01,4.266254587786535,17.215550451578423,10.740902519682479
12,2023-07-01,4.155024186564722,18.271794113207385,11.213409149886054
13,2023-08-01,3.924177485351642,19.11261855485544,11.518398020103541
14,2023-09-01,4.146221795790963,20.335574654212664,12.240898225001814
15,2023-10-01,4.054954801646069,21.186841622491993,12.620898212069031
16,2023-11-01,3.3182965993042863,21.343499680729852,12.33089814001707
17,2023-12-01,1.9202527134542677,20.796543297440987,11.358398005447627
18,2024-01-01,2.0080851343075423,21.698710982547897,11.85339805842772
19,2024-02-01,2.5096003073172994,22.982195315763672,12.745897811540486
20,2024-03-01,1.608010362607235,22.83378588351964,12.220898123063437
21,2024-04-01,2.5293329601466397,24.482463637768056,13.505898298957348
22,2024-05-01,3.3948245334169105,26.05197233787507,14.72339843564599
23,2024-06-01,2.8109289141299687,26.150867789744915,14.48089835193744
24,2024-07-01,2.491703184115096,27.307823172644962,14.899763178380029
25,2024-08-01,2.1416763436926978,28.342670290638956,15.242173317165827
26,2024-09-01,2.023136620411364,29.539427766732796,15.78128219357208
27,2024-10-01,1.7904920215373874,30.56201378491388,16.176252903225635
28,2024-11-01,0.983970369640284,30.958203483250166,15.971086926445224
29,2024-12-01,-0.40822953771708725,30.722283418510603,15.157026940396758
30,2025-01-01,-0.5330293242490054,31.712327288545247,15.58964898214812
31,2025-02-01,0.11136867762483149,33.43429185754871,16.77283026758677
32,2025-03-01,-1.3023117767592858,33.064407522928846,15.88104787308478
33,2025-04-01,-0.7309139743171968,34.648820077715804,16.958953051699304
34,2025-05-01,-0.16675206923542873,36.197787908071064,18.015517919417817
35,2025-06-01,-0.7901099452171003,36.53326013211843,17.871575093450666
36,2025-07-01,-1.1048149770139197,37.73930169810954,18.317243360547813
37,2025-08-01,-1.5099376937819926,38.79184778626917,18.64095504624359
38,2025-09-01,-1.582583081769254,40.12598286220738,19.27169989021906
39,2025-10-01,-1.875520382331068,41.19390060588741,19.65919011177817
40,2025-11-01,-2.7826527129525225,41.605922117262395,19.411634702154934
41,2025-12-01,-4.31641437973472,41.35322681280037,18.518406216532824
42,2026-01-01,-4.475673137568776,42.44006705537624,18.98219695890373
43,2026-02-01,-4.044661838210292,44.084926037120894,20.020132099455303
44,2026-03-01,-5.3451612776605835,43.968404606853056,19.311621664596238
45,2026-04-01,-4.741881278547503,45.727895137082804,20.49300692926765
46,2026-05-01,-4.1700559914299795,47.43003008059917,21.629987044584595
47,2026-06-01,-4.916282953963737,47.78987829724086,21.436797671638562
48,2026-07-01,-5.314134221470454,49.05228010814545,21.8690729433375
49,2026-08-01,-5.783778653614121,50.188034191506894,22.202127768946387
